Time [s],PID,Address,Endpoint,Frame #,Data,CRC
1.930335240000000,SOF,,,0x765,,0x1B
1.931335224000000,SOF,,,0x766,,0x13
1.932335204000000,SOF,,,0x767,,0x0C
1.933335184000000,SOF,,,0x768,,0x0D
1.934335164000000,SOF,,,0x769,,0x12
1.935335144000000,SOF,,,0x76A,,0x1A
1.936335124000000,SOF,,,0x76B,,0x05
1.937335104000000,SOF,,,0x76C,,0x0A
1.938335084000000,SOF,,,0x76D,,0x15
1.939335064000000,SOF,,,0x76E,,0x1D
1.940026448000000,SETUP,0x12,0x00,,,0x09
1.940029716000000,DATA0,,,,0x00 0x01 0x01 0x00 0x00 0x00 0x00 0x00,0xE5AE
1.940038136000000,ACK,,,,,
1.940042948000000,IN,0x12,0x00,,,0x09
1.940046196000000,DATA1,,,,,0x0000
1.940049448000000,ACK,,,,,
1.940179164000000,SETUP,0x12,0x00,,,0x09
1.940182428000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x00 0x00 0x00 0x00,0x20D6
1.940190856000000,ACK,,,,,
1.940195660000000,IN,0x12,0x00,,,0x09
1.940198916000000,DATA1,,,,,0x0000
1.940202176000000,ACK,,,,,
1.940335044000000,SOF,,,0x76F,,0x02
1.941335024000000,SOF,,,0x770,,0x1F
1.941338372000000,IN,0x12,0x01,,,0x1F
1.941341452000000,NAK,,,,,
1.942335004000000,SOF,,,0x771,,0x00
1.942339620000000,OUT,0x12,0x01,,,0x1F
1.942342884000000,DATA0,,,,0xFF 0x55 0x32 0x77 0x8F 0xF7 0x4B 0x75 0x03 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0x4D 0x13 0x00 0x10 0x06 0xCD 0x00 0x10 0x00 0x00 0x00 0xC0 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x03 0x00 0x00 0x00 0x00 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0xF8 0xCC 0x75 0xB8,0x8B73
1.942388812000000,ACK,,,,,
1.942390732000000,IN,0x12,0x01,,,0x1F
1.942393820000000,NAK,,,,,
1.943334984000000,SOF,,,0x772,,0x08
1.943339168000000,IN,0x12,0x01,,,0x1F
1.943342416000000,DATA0,,,,0xFF 0x55 0x25 0x36 0xEC 0x7A 0x16 0xD8 0x02 0x0F 0x12 0x12 0x12 0x13 0x86 0x42 0x14 0xF0 0xC0 0x03 0x13 0xFF 0x14 0xA1 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xB3,0x2A35
1.943388380000000,ACK,,,,,
1.944334964000000,SOF,,,0x773,,0x17
1.944338312000000,IN,0x12,0x01,,,0x1F
1.944341408000000,NAK,,,,,
1.945334944000000,SOF,,,0x774,,0x18
1.945338212000000,IN,0x12,0x01,,,0x1F
1.945341308000000,NAK,,,,,
1.946334928000000,SOF,,,0x775,,0x07
1.946338276000000,IN,0x12,0x01,,,0x1F
1.946341360000000,NAK,,,,,
1.947334904000000,SOF,,,0x776,,0x0F
1.947338252000000,IN,0x12,0x01,,,0x1F
1.947341352000000,NAK,,,,,
1.948334888000000,SOF,,,0x777,,0x10
1.948338152000000,IN,0x12,0x01,,,0x1F
1.948341232000000,NAK,,,,,
1.949334868000000,SOF,,,0x778,,0x11
