Time [s],PID,Address,Endpoint,Frame #,Data,CRC
1.421168064000000,SOF,,,0x042,,0x1E
1.422168044000000,SOF,,,0x043,,0x01
1.423168024000000,SOF,,,0x044,,0x0E
1.424168004000000,SOF,,,0x045,,0x11
1.425167984000000,SOF,,,0x046,,0x19
1.426167964000000,SOF,,,0x047,,0x06
1.427167948000000,SOF,,,0x048,,0x07
1.428167928000000,SOF,,,0x049,,0x18
1.429167908000000,SOF,,,0x04A,,0x10
1.430167888000000,SOF,,,0x04B,,0x0F
1.431167868000000,SOF,,,0x04C,,0x00
1.431462396000000,SETUP,0x14,0x00,,,0x19
1.431465660000000,DATA0,,,,0x00 0x01 0x01 0x00 0x00 0x00 0x00 0x00,0xE5AE
1.431474092000000,ACK,,,,,
1.431478908000000,IN,0x14,0x00,,,0x19
1.431482172000000,DATA1,,,,,0x0000
1.431485424000000,ACK,,,,,
1.431689940000000,SETUP,0x14,0x00,,,0x19
1.431693204000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x00 0x00 0x00 0x00,0x20D6
1.431701624000000,ACK,,,,,
1.431706436000000,IN,0x14,0x00,,,0x19
1.431709700000000,DATA1,,,,,0x0000
1.431712952000000,ACK,,,,,
1.432167848000000,SOF,,,0x04D,,0x1F
1.432171112000000,IN,0x14,0x01,,,0x0F
1.432174208000000,NAK,,,,,
1.433167828000000,SOF,,,0x04E,,0x17
1.433171092000000,IN,0x14,0x01,,,0x0F
1.433174180000000,NAK,,,,,
1.434167808000000,SOF,,,0x04F,,0x08
1.434172424000000,OUT,0x14,0x01,,,0x0F
1.434175688000000,DATA0,,,,0xFF 0x55 0xD1 0x09 0xBF 0x2C 0x41 0x37 0x03 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0x4D 0x13 0x00 0x10 0x06 0xCD 0x00 0x10 0x00 0x00 0x00 0xC0 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x03 0x00 0x00 0x00 0x00 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0xF8 0xCC 0x75 0x06,0x3BD5
1.434221604000000,ACK,,,,,
1.434223536000000,IN,0x14,0x01,,,0x0F
1.434226628000000,NAK,,,,,
1.435167788000000,SOF,,,0x050,,0x15
1.435172004000000,IN,0x14,0x01,,,0x0F
1.435175272000000,DATA0,,,,0xFF 0x55 0x18 0xA7 0x2E 0xF4 0x17 0x31 0x02 0x0F 0xC0 0x03 0x13 0xFF 0x14 0xA1 0x00 0x00 0x04 0x01 0x00 0x20 0x10 0xB5 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x86 0x03,0xEF11
1.435221316000000,ACK,,,,,
1.436167768000000,SOF,,,0x051,,0x0A
1.436171036000000,IN,0x14,0x01,,,0x0F
1.436174120000000,NAK,,,,,
1.437167748000000,SOF,,,0x052,,0x02
1.437171148000000,IN,0x14,0x01,,,0x0F
1.437174240000000,NAK,,,,,
1.438167728000000,SOF,,,0x053,,0x1D
1.438170996000000,IN,0x14,0x01,,,0x0F
1.438174084000000,NAK,,,,,
1.439167708000000,SOF,,,0x054,,0x12
1.439170976000000,IN,0x14,0x01,,,0x0F
1.439174060000000,NAK,,,,,
1.440167692000000,SOF,,,0x055,,0x0D
1.440170956000000,IN,0x14,0x01,,,0x0F
1.440174048000000,NAK,,,,,
1.441167668000000,SOF,,,0x056,,0x05
1.441170936000000,IN,0x14,0x01,,,0x0F
1.441174024000000,NAK,,,,,
1.442167652000000,SOF,,,0x057,,0x1A
1.442172248000000,OUT,0x14,0x01,,,0x0F
1.442175512000000,DATA1,,,,0xFF 0x55 0xD1 0x09 0xBF 0x2C 0x41 0x37 0x05 0x00 0x00 0x00 0x7C 0xFA 0x85 0x04 0x50 0x61 0xDF 0x00 0xD0 0x2E 0x73 0x28 0xFE 0xFF 0xFF 0xFF 0x4B 0x4F 0xDF 0x00 0x9F 0xF1 0xDE 0x00 0x90 0x75 0x9C 0x02 0xF8 0xFA 0x85 0x04 0x18 0x21 0xDD 0x00 0x90 0x75 0x9C 0x02 0xB0 0x40 0x17 0x2C 0x28 0xF3 0x76 0x00 0x01 0x00 0xAB 0x3C,0x7917
1.442222016000000,ACK,,,,,
1.442223944000000,IN,0x14,0x01,,,0x0F
1.442227044000000,NAK,,,,,
1.443167632000000,SOF,,,0x058,,0x1B
1.443171812000000,IN,0x14,0x01,,,0x0F
1.443175060000000,DATA1,,,,0xFF 0x55 0x18 0xAF 0x2E 0xF4 0x1F 0x31 0x02 0x0F 0xC0 0x03 0x13 0xFF 0x14 0xA1 0x00 0x00 0x04 0x01 0x00 0x20 0x10 0xB5 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x86 0x13,0x64E9
1.443221092000000,ACK,,,,,
1.444167612000000,SOF,,,0x059,,0x04
1.444172492000000,OUT,0x14,0x01,,,0x0F
1.444175760000000,DATA0,,,,0xFF 0x55 0xD1 0x09 0x3F 0x2C 0x41 0x37 0x08 0x04 0x00 0x2C 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xEA 0xFB,0xC4B0
1.444221688000000,ACK,,,,,
1.444223624000000,IN,0x14,0x01,,,0x0F
1.444226712000000,NAK,,,,,
1.445167592000000,SOF,,,0x05A,,0x0C
1.445171724000000,IN,0x14,0x01,,,0x0F
1.445174820000000,NAK,,,,,
