Time [s],PID,Address,Endpoint,Frame #,Data,CRC
1.629080096000000,SOF,,,0x088,,0x1A
1.630080076000000,SOF,,,0x089,,0x05
1.631080056000000,SOF,,,0x08A,,0x0D
1.632080036000000,SOF,,,0x08B,,0x12
1.633080016000000,SOF,,,0x08C,,0x1D
1.634079996000000,SOF,,,0x08D,,0x02
1.635079976000000,SOF,,,0x08E,,0x0A
1.636079956000000,SOF,,,0x08F,,0x15
1.637079936000000,SOF,,,0x090,,0x08
1.638079916000000,SOF,,,0x091,,0x17
1.638722252000000,SETUP,0x16,0x00,,,0x0E
1.638725516000000,DATA0,,,,0x00 0x01 0x01 0x00 0x00 0x00 0x00 0x00,0xE5AE
1.638733932000000,ACK,,,,,
1.638738748000000,IN,0x16,0x00,,,0x0E
1.638742008000000,DATA1,,,,,0x0000
1.638745264000000,ACK,,,,,
1.638975632000000,SETUP,0x16,0x00,,,0x0E
1.638978896000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x00 0x00 0x00 0x00,0x20D6
1.638987316000000,ACK,,,,,
1.638992144000000,IN,0x16,0x00,,,0x0E
1.638995396000000,DATA1,,,,,0x0000
1.638998660000000,ACK,,,,,
1.639079896000000,SOF,,,0x092,,0x1F
1.640079876000000,SOF,,,0x093,,0x00
1.640083140000000,IN,0x16,0x01,,,0x18
1.640086232000000,NAK,,,,,
1.641079856000000,SOF,,,0x094,,0x0F
1.641084488000000,OUT,0x16,0x01,,,0x18
1.641087752000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0xF1 0xA2 0x00 0x0A 0x03 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0x4D 0x13 0x00 0x10 0x06 0xCD 0x00 0x10 0x00 0x00 0x00 0xC0 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x03 0x00 0x00 0x00 0x00 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0xF8 0xCC 0x75 0xC3,0xBCB9
1.641133592000000,ACK,,,,,
1.641135520000000,IN,0x16,0x01,,,0x18
1.641138616000000,NAK,,,,,
1.642079836000000,SOF,,,0x095,,0x10
1.642084052000000,IN,0x16,0x01,,,0x18
1.642087316000000,DATA0,,,,0xFF 0x55 0x1D 0xB9 0xDD 0x28 0x61 0x73 0x02 0x0F 0xC0 0x03 0x13 0xFF 0x14 0xA1 0x00 0x00 0x04 0x01 0x00 0x20 0x10 0xB5 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x86 0x89,0x0CAA
1.642133264000000,ACK,,,,,
1.643079816000000,SOF,,,0x096,,0x18
1.643083080000000,IN,0x16,0x01,,,0x18
1.643086172000000,NAK,,,,,
1.644079796000000,SOF,,,0x097,,0x07
1.644083060000000,IN,0x16,0x01,,,0x18
1.644086148000000,NAK,,,,,
1.645079776000000,SOF,,,0x098,,0x06
1.645083040000000,IN,0x16,0x01,,,0x18
1.645086136000000,NAK,,,,,
1.646079756000000,SOF,,,0x099,,0x19
1.646083020000000,IN,0x16,0x01,,,0x18
1.646086108000000,NAK,,,,,
1.647079736000000,SOF,,,0x09A,,0x11
1.647083000000000,IN,0x16,0x01,,,0x18
1.647086080000000,NAK,,,,,
1.648079716000000,SOF,,,0x09B,,0x0E
1.648084348000000,OUT,0x16,0x01,,,0x18
1.648087616000000,DATA1,,,,0xFF 0x55 0x5D 0x00 0xF1 0xA2 0x00 0x0A 0x05 0x00 0x00 0x00 0x7C 0xFA 0x85 0x04 0x50 0x61 0xDF 0x00 0xD0 0x2E 0x73 0x28 0xFE 0xFF 0xFF 0xFF 0x4B 0x4F 0xDF 0x00 0x9F 0xF1 0xDE 0x00 0x30 0x73 0x9C 0x02 0xF8 0xFA 0x85 0x04 0x18 0x21 0xDD 0x00 0x30 0x73 0x9C 0x02 0xB0 0x40 0x17 0x2C 0x28 0xF3 0x76 0x00 0x01 0x00 0xE7 0x35,0xDE90
1.648134036000000,ACK,,,,,
1.648135964000000,IN,0x16,0x01,,,0x18
1.648139060000000,NAK,,,,,
1.649079696000000,SOF,,,0x09C,,0x01
1.649083912000000,IN,0x16,0x01,,,0x18
1.649087168000000,DATA1,,,,0xFF 0x55 0x1D 0xC0 0xDE 0x29 0x04 0x73 0x02 0x0F 0xC0 0x03 0x13 0xFF 0x14 0xA1 0x00 0x00 0x04 0x01 0x00 0x20 0x10 0xB5 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x86 0x35,0x8003
1.649133128000000,ACK,,,,,
1.650079676000000,SOF,,,0x09D,,0x1E
1.650084292000000,OUT,0x16,0x01,,,0x18
1.650087560000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x2C 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xEA 0xB8,0xE15D
1.650133392000000,ACK,,,,,
1.650135324000000,IN,0x16,0x01,,,0x18
1.650138420000000,NAK,,,,,
1.651079656000000,SOF,,,0x09E,,0x16
1.651083956000000,IN,0x16,0x01,,,0x18
1.651087048000000,NAK,,,,,
1.652079636000000,SOF,,,0x09F,,0x09
1.652083852000000,OUT,0x16,0x01,,,0x18
1.652087120000000,DATA1,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x30 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xEE 0xBC,0x816C
1.652132952000000,ACK,,,,,
1.652134884000000,IN,0x16,0x01,,,0x18
1.652137976000000,NAK,,,,,
1.653079616000000,SOF,,,0x0A0,,0x05
1.653083232000000,IN,0x16,0x01,,,0x18
1.653086324000000,NAK,,,,,
1.654079600000000,SOF,,,0x0A1,,0x1A
1.654084212000000,OUT,0x16,0x01,,,0x18
1.654087480000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.654133328000000,NAK,,,,,
1.654135260000000,IN,0x16,0x01,,,0x18
1.654138352000000,NAK,,,,,
1.655079576000000,SOF,,,0x0A2,,0x12
1.655084196000000,OUT,0x16,0x01,,,0x18
1.655087460000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.655133308000000,NAK,,,,,
1.655135240000000,IN,0x16,0x01,,,0x18
1.655138336000000,NAK,,,,,
1.656079560000000,SOF,,,0x0A3,,0x0D
1.656083492000000,OUT,0x16,0x01,,,0x18
1.656086756000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.656132596000000,NAK,,,,,
1.656134520000000,IN,0x16,0x01,,,0x18
1.656137604000000,NAK,,,,,
1.657079540000000,SOF,,,0x0A4,,0x02
1.657083472000000,OUT,0x16,0x01,,,0x18
1.657086736000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.657132584000000,NAK,,,,,
1.657134520000000,IN,0x16,0x01,,,0x18
1.657137612000000,NAK,,,,,
1.658079520000000,SOF,,,0x0A5,,0x1D
1.658083452000000,OUT,0x16,0x01,,,0x18
1.658086716000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.658132552000000,NAK,,,,,
1.658134480000000,IN,0x16,0x01,,,0x18
1.658137580000000,NAK,,,,,
1.659079500000000,SOF,,,0x0A6,,0x15
1.659083116000000,OUT,0x16,0x01,,,0x18
1.659086380000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.659132224000000,NAK,,,,,
1.659134144000000,IN,0x16,0x01,,,0x18
1.659137228000000,NAK,,,,,
1.660079480000000,SOF,,,0x0A7,,0x0A
1.660083412000000,OUT,0x16,0x01,,,0x18
1.660086676000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.660132528000000,NAK,,,,,
1.660134460000000,IN,0x16,0x01,,,0x18
1.660137556000000,NAK,,,,,
1.661079460000000,SOF,,,0x0A8,,0x0B
1.661083424000000,OUT,0x16,0x01,,,0x18
1.661086692000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.661132536000000,NAK,,,,,
1.661134472000000,IN,0x16,0x01,,,0x18
1.661137568000000,NAK,,,,,
1.662079440000000,SOF,,,0x0A9,,0x14
1.662083388000000,OUT,0x16,0x01,,,0x18
1.662086652000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.662132496000000,NAK,,,,,
1.662134420000000,IN,0x16,0x01,,,0x18
1.662137504000000,NAK,,,,,
1.663079420000000,SOF,,,0x0AA,,0x1C
1.663083368000000,OUT,0x16,0x01,,,0x18
1.663086632000000,DATA0,,,,0xFF 0x55 0x5D 0x00 0x71 0xA2 0x00 0x0A 0x08 0x04 0x00 0x34 0x00 0x08 0x00 0x00 0x3C 0x30 0xE1 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0xC0 0x03 0x3B 0x75 0x82 0x3C 0xCE 0xB4 0xB0 0xF2 0x76 0x00 0x97 0x32 0xDD 0x00 0xE2 0x04 0x05 0x00 0x80 0x01 0x00 0x00 0x00 0x00 0x00 0x00 0x3C 0x30 0xE1 0x00 0x28 0xF3 0xF2 0xC0,0xB603
1.663132484000000,NAK,,,,,
1.663134416000000,IN,0x16,0x01,,,0x18
1.663137512000000,NAK,,,,,
1.664079400000000,SOF,,,0x0AB,,0x03
1.664083332000000,OUT,0x16,0x01,,,0x18
