Time [s],PID,Address,Endpoint,Frame #,Data,CRC
2.643382548000000,SOF,,,0x182,,0x06
2.644382528000000,SOF,,,0x183,,0x19
2.645382508000000,SOF,,,0x184,,0x16
2.646382488000000,SOF,,,0x185,,0x09
2.647382468000000,SOF,,,0x186,,0x01
2.648382448000000,SOF,,,0x187,,0x1E
2.649382428000000,SOF,,,0x188,,0x1F
2.650382408000000,SOF,,,0x189,,0x00
2.651382388000000,SOF,,,0x18A,,0x08
2.652382368000000,SOF,,,0x18B,,0x17
2.653296332000000,SETUP,0x1E,0x00,,,0x00
2.653299600000000,DATA0,,,,0x00 0x01 0x01 0x00 0x00 0x00 0x00 0x00,0xE5AE
2.653308012000000,ACK,,,,,
2.653312848000000,IN,0x1E,0x00,,,0x00
2.653316108000000,DATA1,,,,,0x0000
2.653319364000000,ACK,,,,,
2.653382348000000,SOF,,,0x18C,,0x18
2.653553644000000,SETUP,0x1E,0x00,,,0x00
2.653556912000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x00 0x00 0x00 0x00,0x20D6
2.653565328000000,ACK,,,,,
2.653570144000000,IN,0x1E,0x00,,,0x00
2.653573404000000,DATA1,,,,,0x0000
2.653576656000000,ACK,,,,,
2.654382328000000,SOF,,,0x18D,,0x07
2.654385596000000,IN,0x1E,0x01,,,0x16
2.654388684000000,NAK,,,,,
2.655382312000000,SOF,,,0x18E,,0x0F
2.655385576000000,IN,0x1E,0x01,,,0x16
2.655388660000000,NAK,,,,,
2.656382292000000,SOF,,,0x18F,,0x10
2.656385556000000,IN,0x1E,0x01,,,0x16
2.656388644000000,NAK,,,,,
2.657382272000000,SOF,,,0x190,,0x0D
2.657386136000000,OUT,0x1E,0x01,,,0x16
2.657389400000000,DATA0,,,,0xFF 0x55 0x68 0x1F 0x8B 0x10 0x1F 0x94 0x03 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0x4D 0x13 0x00 0x10 0x06 0xCD 0x00 0x10 0x00 0x00 0x00 0xC0 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x03 0x00 0x00 0x00 0x00 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0xF8 0xCC 0x75 0x9E,0xF822
2.657435240000000,ACK,,,,,
2.657437164000000,IN,0x1E,0x01,,,0x16
2.657440244000000,NAK,,,,,
2.658382252000000,SOF,,,0x191,,0x12
2.658386448000000,IN,0x1E,0x01,,,0x16
2.658389700000000,DATA1,,,,0xFF 0x55 0x4B 0x68 0xD0 0xF1 0x3C 0xAE 0x02 0x34 0xA0 0xA0 0x88 0x13 0x00 0x00 0x00 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x64 0x4A 0xFC,0x6C5D
2.658440376000000,ACK,,,,,
2.659382228000000,SOF,,,0x192,,0x1A
2.659386844000000,OUT,0x1E,0x01,,,0x16
