Time [s],PID,Address,Endpoint,Frame #,Data,CRC
1.026525280000000,SOF,,,0x1BE,,0x02
1.027525260000000,SOF,,,0x1BF,,0x1D
1.028525240000000,SOF,,,0x1C0,,0x1A
1.029525220000000,SOF,,,0x1C1,,0x05
1.030525204000000,SOF,,,0x1C2,,0x0D
1.031525184000000,SOF,,,0x1C3,,0x12
1.032525164000000,SOF,,,0x1C4,,0x1D
1.033525140000000,SOF,,,0x1C5,,0x02
1.034525120000000,SOF,,,0x1C6,,0x0A
1.035525104000000,SOF,,,0x1C7,,0x15
1.036402052000000,SETUP,0x1C,0x00,,,0x17
1.036405316000000,DATA0,,,,0x00 0x01 0x01 0x00 0x00 0x00 0x00 0x00,0xE5AE
1.036413748000000,ACK,,,,,
1.036418584000000,IN,0x1C,0x00,,,0x17
1.036421844000000,DATA1,,,,,0x0000
1.036425100000000,ACK,,,,,
1.036525084000000,SOF,,,0x1C8,,0x14
1.036645948000000,SETUP,0x1C,0x00,,,0x17
1.036649212000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x00 0x00 0x00 0x00,0x20D6
1.036657624000000,ACK,,,,,
1.036662444000000,IN,0x1C,0x00,,,0x17
1.036665704000000,DATA1,,,,,0x0000
1.036668960000000,ACK,,,,,
1.037525064000000,SOF,,,0x1C9,,0x0B
1.037528328000000,IN,0x1C,0x01,,,0x01
1.037531416000000,NAK,,,,,
1.038525044000000,SOF,,,0x1CA,,0x03
1.038529676000000,OUT,0x1C,0x01,,,0x01
1.038532940000000,DATA1,,,,0xFF 0x55 0xCC 0x22 0xCC 0xFD 0x2E 0xFC 0x03 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0x4D 0x13 0x00 0x10 0x06 0xCD 0x00 0x10 0x00 0x00 0x00 0xC0 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x03 0x00 0x00 0x00 0x00 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0xF8 0xCC 0x75 0xAA,0x9286
1.038578948000000,ACK,,,,,
1.038580872000000,IN,0x1C,0x01,,,0x01
1.038583976000000,NAK,,,,,
1.039525024000000,SOF,,,0x1CB,,0x1C
1.039529240000000,IN,0x1C,0x01,,,0x01
1.039532500000000,DATA1,,,,0xFF 0x55 0x2D 0x4B 0xF8 0xCA 0x2B 0x3D 0x02 0x34 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x02 0xF8,0x8D47
1.039584168000000,ACK,,,,,
1.040525004000000,SOF,,,0x1CC,,0x13
1.040528268000000,IN,0x1C,0x01,,,0x01
1.040531372000000,NAK,,,,,
1.041524984000000,SOF,,,0x1CD,,0x0C
1.041528248000000,IN,0x1C,0x01,,,0x01
1.041531352000000,NAK,,,,,
1.042524964000000,SOF,,,0x1CE,,0x04
1.042528228000000,IN,0x1C,0x01,,,0x01
1.042531328000000,NAK,,,,,
1.043524944000000,SOF,,,0x1CF,,0x1B
1.043528212000000,IN,0x1C,0x01,,,0x01
1.043531312000000,NAK,,,,,
1.044524924000000,SOF,,,0x1D0,,0x06
1.044528188000000,IN,0x1C,0x01,,,0x01
1.044531276000000,NAK,,,,,
1.045524904000000,SOF,,,0x1D1,,0x19
1.045529556000000,OUT,0x1C,0x01,,,0x01
1.045532820000000,DATA0,,,,0xFF 0x55 0xCC 0x22 0xCC 0xFD 0x2E 0xFC 0x05 0x00 0x00 0x00 0x7C 0xFA 0x85 0x04 0x50 0x61 0xDF 0x00 0xD0 0x2E 0x73 0x28 0xFE 0xFF 0xFF 0xFF 0x4B 0x4F 0xDF 0x00 0x9F 0xF1 0xDE 0x00 0x90 0x75 0x9C 0x02 0xF8 0xFA 0x85 0x04 0x18 0x21 0xDD 0x00 0x90 0x75 0x9C 0x02 0xB0 0x40 0x17 0x2C 0x28 0xF3 0x76 0x00 0x01 0x00 0xAB 0xE0,0x3445
1.045579408000000,ACK,,,,,
1.045581332000000,IN,0x1C,0x01,,,0x01
1.045584432000000,NAK,,,,,
